Data;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;100;100;100;100
nov/04;128,429;103,323;125,198;132,081;;1,00003979;1,000657019;0,999674822;1,000156795;;nov/04;0,0011;-0,3277;-0,0087;0,0355;;set/16;0,000346104;-0,110283678;0,017797487;0,002165331;;156,0952911;98,31044468;159,4426003;149,5076787
dez/04;125,829;114,562;115,528;131,599;;0,999797554;1,001087754;0,999227623;0,999963507;;dez/04;-0,0144;-0,0140;-0,0904;0,0203;;dez/16;-0,020658047;-0,00764209;-0,103901248;0,007998085;;152,8706672;97,55914738;142,8763151;150,7034538
jan/05;120,146;106,313;110,579;125,3;;0,999548355;0,999279953;0,999571619;0,999521349;;jan/05;-0,0614;0,1024;-0,1525;-0,0358;;mar/17;0,07252689;1,183489096;0,086664935;-0,014551049;;163,9579013;213,0193345;155,2586816;148,5105605
fev/05;118,934;168,844;103,086;122,499;;0,999899123;1,005881783;0,999322385;0,999776457;;fev/05;-0,0755;0,6251;-0,1877;-0,0739;;jun/17;-0,040165532;-0,533904597;-0,001732672;0,014883254;;157,3724449;99,28733256;154,9896692;150,7208809
mar/05;129,673;235,674;115,798;126,798;;1,000902938;1,003958091;1,001233145;1,000350942;;mar/05;0,0350;0,9136;0,0126;-0,0351;;set/17;0,005048489;-0,172975523;0,036894902;0,007998179;;158,1669379;82,11305423;160,7079979;151,9263735
abr/05;129,538;218,789;117,661;127,768;;0,999989589;0,999283544;1,000160884;1,0000765;;abr/05;0,0792;0,9140;0,0716;0,0204;;dez/17;-0,001177902;0,054810592;-0,082463213;0,024332392;;157,9806327;86,61371936;147,4555001;155,6231056
mai/05;128,87;145,981;122,425;129,677;;0,999948432;0,996672228;1,000404892;1,000149411;;mai/05;0,0841;-0,0100;0,1800;0,0577;;mar/18;0,048843043;1,013768728;0,060869011;-0,017611447;;165,6968875;174,4199995;156,4309705;152,8823575
jun/05;129,144;149,853;122,721;130,098;;1,000021262;1,00026524;1,000024178;1,000032465;;jun/05;-0,0041;-0,3778;0,0590;0,0258;;jun/18;-0,025261452;-0,442327667;0,013983041;0,009046529;;161,5111436;97,26920805;158,6183512;154,2654122
jul/05;130,249;182,345;121;130,051;;1,000085563;1,002168258;0,999859763;0,999996387;;jul/05;0,0055;-0,0902;0,0289;0,0178;;set/18;-0,003776137;-0,153289397;0,007684701;0,003770109;;160,9012553;82,35886984;159,8372858;154,8470096
ago/05;132,854;147,583;126,871;133,439;;1,000200002;0,998093614;1,000485207;1,000260513;;ago/05;0,0307;0,0523;0,0369;0,0289;;dez/18;-0,013745917;-0,035480583;-0,090237404;0,012811044;;158,6895199;79,43672915;145,4139841;156,8307614
